gene	total	forward	reverse
001_CFTR_a_Nilmn_MixAMixB_ctrl M chr7:117307078-117307150	932	0	932
002_FLCN_1_Nilmn_MixAMixB_ctrl M chr17:17131259-17131319	489	0	489
003_GCH1_a_Nilmn_MixAMixB_ctrl M chr14:55332047-55332119	996	0	996
004_GPC3_1_Nilmn_MixAMixB_ctrl M chrX:132670260-132670326	910	0	910
005_IL1B_1_Nilmn_MixAMixB_ctrl M chr2:113590970-113591021	552	0	552
006_JAG1_a_Nilmn_MixAMixB_ctrl M chr20:10622384-10622447	630	0	630
007_OPTN_a_Nilmn_MixAMixB_ctrl M chr10:13142648-13142708	854	0	854
008_PANK2_1_Nilmn_MixAMixB_ctrl M chr20:3893229-3893286	585	0	585
009_BRCA1_up_a_Nilmn_MixB_ctrl M chr17:41277531-41277594	0	0	0
010_BRCA1_up_b_Nilmn_MixB_ctrl M chr17:41278182-41278242	0	0	0
011_BRCA1_ex1_a_Nilmn_MixA_ctrl M chr17:41277287-41277344	119	0	119
012_BRCA1_in1_a_Nilmn_MixA_ctrl M chr17:41277046-41277103	540	0	540
013_BRCA1_ex1_c_Nilmn_MixB_ctrl M chr17:41277397-41277459	0	0	0
014_BRCA1_ex2_a_Nilmn_MixA_ctrl M chr17:41276060-41276123	408	0	408
015_BRCA1_ex2_b_Nilmn_MixB_ctrl M chr17:41276019-41276094	0	0	0
016_BRCA1_ex3_a_Nilmn_MixA_ctrl M chr17:41267743-41267803	726	0	726
017_BRCA1_ex3_b_Nilmn_MixB_ctrl M chr17:41267716-41267791	0	0	0
018_BRCA1_ex4_a_Nilmn_MixA_ctrl M chr17:41258486-41258549	908	0	908
019_BRCA1_ex4_b_Nilmn_MixB_ctrl M chr17:41258432-41258517	0	0	0
020_BRCA1_ex5_a_Nilmn_MixA_ctrl M chr17:41256905-41256974	1064	0	1064
021_BRCA1_ex5_b_Nilmn_MixB_ctrl M chr17:41256858-41256936	0	0	0
022_BRCA1_ex6_a_Nilmn_MixA_ctrl M chr17:41256137-41256197	834	0	834
023_BRCA1_ex6_b_Nilmn_MixB_ctrl M chr17:41256178-41256250	0	0	0
024_BRCA1_ex7_a_Nilmn_MixA_ctrl M chr17:41251815-41251881	841	0	841
025_BRCA1_ex7_b_Nilmn_MixB_ctrl M chr17:41251863-41251941	0	0	0
026_BRCA1_ex8_a_Nilmn_MixA_ctrl M chr17:41249226-41249307	1216	0	1216
027_BRCA1_ex8_b_Nilmn_MixB_ctrl M chr17:41249219-41249294	1420	1420	0
028_BRCA1_ex9_a_Nilmn_MixA_ctrl M chr17:41247877-41247940	878	0	878
029_BRCA1_ex9_b_Nilmn_MixB_ctrl M chr17:41247855-41247921	0	0	0
030_BRCA1_ex10_a_Nilmn_MixA_ctrl M chr17:41246748-41246811	703	0	703
